"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"M",1,0,0,0,0,0,0,"20260510","20260808"
"TU",0,1,0,0,0,0,0,"20260510","20260808"
"W",0,0,1,0,0,0,0,"20260510","20260808"
"T",0,0,0,1,0,0,0,"20260510","20260808"
"F",0,0,0,0,1,0,0,"20260510","20260808"
"SA",0,0,0,0,0,1,0,"20260510","20260808"
"SU",0,0,0,0,0,0,1,"20260510","20260808"
"TUWTF",0,1,1,1,1,0,0,"20260510","20260808"
"MWTF",1,0,1,1,1,0,0,"20260510","20260808"
"MTUTF",1,1,0,1,1,0,0,"20260510","20260808"
"MTUWF",1,1,1,0,1,0,0,"20260510","20260808"
"MTUWT",1,1,1,1,0,0,0,"20260510","20260808"
"MTUWTF",1,1,1,1,1,0,0,"20260510","20260808"
"OCF_SA",0,0,0,0,0,1,0,"20260718","20260808"
"OCF_SU",0,0,0,0,0,0,1,"20260718","20260808"
