"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"1","MTUWTF","12702905","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","MTUWTF","12702906","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","MTUWTF","12702907","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0101"
"1","MTUWTF","12702908","LONG BEACH - CAL STATE LONG BEACH",0,"00142","0100"
"1","MTUWTF","12702909","LONG BEACH - CAL STATE LONG BEACH",0,"00116","0100"
"1","MTUWTF","12702910","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00141","0101"
"1","MTUWTF","12702911","LONG BEACH - CAL STATE LONG BEACH",0,"00115","0100"
"1","MTUWTF","12702912","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","MTUWTF","12702913","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00117","0101"
"1","MTUWTF","12702914","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00142","0101"
"1","MTUWTF","12702915","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00116","0101"
"1","MTUWTF","12702916","LONG BEACH - CAL STATE LONG BEACH",0,"00118","0100"
"1","MTUWTF","12702917","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0100"
"1","MTUWTF","12702918","LONG BEACH - CAL STATE LONG BEACH",0,"00141","0100"
"1","MTUWTF","12702919","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00115","0101"
"1","MTUWTF","12702920","LONG BEACH - CAL STATE LONG BEACH",0,"00117","0100"
"1","MTUWTF","12702921","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00118","0101"
"1","MTUWTF","12702922","LONG BEACH - CAL STATE LONG BEACH",0,"00142","0100"
"1","MTUWTF","12702923","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00141","0101"
"1","MTUWTF","12702924","LONG BEACH - CAL STATE LONG BEACH",0,"00116","0100"
"1","MTUWTF","12702925","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00119","0101"
"1","MTUWTF","12702926","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00121","0101"
"1","MTUWTF","12702927","LONG BEACH - CAL STATE LONG BEACH",0,"00115","0100"
"1","MTUWTF","12702928","LONG BEACH - CAL STATE LONG BEACH",0,"00118","0100"
"1","MTUWTF","12702929","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00142","0101"
"1","MTUWTF","12702930","LONG BEACH - CAL STATE LONG BEACH",0,"00141","0100"
"1","MTUWTF","12702931","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00122","0101"
"1","MTUWTF","12702932","LONG BEACH - CAL STATE LONG BEACH",0,"00119","0100"
"1","MTUWTF","12702933","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00123","0101"
"1","MTUWTF","12702934","LONG BEACH - CAL STATE LONG BEACH",0,"00120","0100"
"1","MTUWTF","12702935","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00115","0111"
"1","MTUWTF","12702936","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00118","0111"
"1","MTUWTF","12702937","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0111"
"1","MTUWTF","12702938","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00118","0101"
"1","MTUWTF","12702939","LONG BEACH - CAL STATE LONG BEACH",0,"00141","0100"
"1","MTUWTF","12702940","LONG BEACH - CAL STATE LONG BEACH",0,"00142","0100"
"1","MTUWTF","12702941","LONG BEACH - CAL STATE LONG BEACH",0,"00117","0131"
"1","MTUWTF","12702942","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0131"
"1","MTUWTF","12702943","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0131"
"1","MTUWTF","12702944","LONG BEACH - CAL STATE LONG BEACH",0,"00123","0131"
"1","MTUWTF","12702945","LONG BEACH - CAL STATE LONG BEACH",0,"00122","0131"
"1","MTUWTF","12702946","LONG BEACH - CAL STATE LONG BEACH",0,"00120","0131"
"1","MTUWTF","12702947","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0111"
"1","MTUWTF","12702948","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00117","0111"
"1","MTUWTF","12702949","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00120","0111"
"1","SA","12702986","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0100"
"1","SA","12702987","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0100"
"1","SA","12702988","LONG BEACH - CAL STATE LONG BEACH",0,"00115","0100"
"1","SA","12702989","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SA","12702990","LONG BEACH - CAL STATE LONG BEACH",0,"00113","0100"
"1","SA","12702991","LONG BEACH - CAL STATE LONG BEACH",0,"00116","0100"
"1","SA","12702992","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0100"
"1","SA","12702993","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0100"
"1","SA","12702994","LONG BEACH - CAL STATE LONG BEACH",0,"00115","0100"
"1","SA","12702995","LONG BEACH - CAL STATE LONG BEACH",0,"00117","0100"
"1","SA","12702996","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SA","12702997","LONG BEACH - CAL STATE LONG BEACH",0,"00116","0100"
"1","SA","12702998","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0100"
"1","SA","12702999","LONG BEACH - CAL STATE LONG BEACH",0,"00113","0100"
"1","SA","12703000","NEWPORT TRANSP CENTER",0,"00114","0110"
"1","SA","12703001","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","SA","12703002","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0101"
"1","SA","12703003","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00116","0101"
"1","SA","12703004","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","SA","12703005","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","SA","12703006","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00115","0101"
"1","SA","12703007","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00117","0101"
"1","SA","12703008","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","SA","12703009","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0101"
"1","SA","12703010","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00116","0101"
"1","SA","12703011","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","SA","12703012","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","SA","12703013","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00115","0101"
"1","SA","12703014","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00117","0101"
"1","SA","12703015","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","SU","12703031","NEWPORT TRANSP CENTER",0,"00114","0110"
"1","SU","12703032","LONG BEACH - CAL STATE LONG BEACH",0,"00113","0100"
"1","SU","12703033","LONG BEACH - CAL STATE LONG BEACH",0,"00115","0100"
"1","SU","12703034","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SU","12703035","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0100"
"1","SU","12703036","LONG BEACH - CAL STATE LONG BEACH",0,"00117","0100"
"1","SU","12703037","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0100"
"1","SU","12703038","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SU","12703039","LONG BEACH - CAL STATE LONG BEACH",0,"00115","0100"
"1","SU","12703040","LONG BEACH - CAL STATE LONG BEACH",0,"00116","0100"
"1","SU","12703041","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0100"
"1","SU","12703042","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0100"
"1","SU","12703043","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0100"
"1","SU","12703044","LONG BEACH - CAL STATE LONG BEACH",0,"00116","0100"
"1","SU","12703045","LONG BEACH - CAL STATE LONG BEACH",0,"00113","0100"
"1","SU","12703046","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","SU","12703047","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0101"
"1","SU","12703048","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00116","0101"
"1","SU","12703049","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","SU","12703050","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","SU","12703051","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00115","0101"
"1","SU","12703052","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00117","0101"
"1","SU","12703053","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","SU","12703054","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0101"
"1","SU","12703055","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00116","0101"
"1","SU","12703056","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","SU","12703057","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","SU","12703058","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00115","0101"
"1","SU","12703059","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00117","0101"
"1","SU","12703060","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"123","MTUWTF","12661078","GOLDEN WEST TRANSP CENTER",1,"07211","1231"
"123","MTUWTF","12661079","ANAHEIM CANYON METROLINK STATION",0,"04343","1230"
"123","MTUWTF","12661080","ANAHEIM CANYON METROLINK STATION",0,"06617","1230"
"123","MTUWTF","12661081","ANAHEIM CANYON METROLINK STATION",0,"06045","1230"
"123","MTUWTF","12661082","GOLDEN WEST TRANSP CENTER",1,"06614","1231"
"123","MTUWTF","12661083","GOLDEN WEST TRANSP CENTER",1,"06013","1231"
"123","MTUWTF","12661084","GOLDEN WEST TRANSP CENTER",1,"06045","1231"
"123","MTUWTF","12661085","GOLDEN WEST TRANSP CENTER",1,"12343","1231"
"123","MTUWTF","12661086","ANAHEIM CANYON METROLINK STATION",0,"12343","1230"
"123","MTUWTF","12661087","ANAHEIM CANYON METROLINK STATION",0,"06013","1230"
"123","MTUWTF","12661088","ANAHEIM CANYON METROLINK STATION",0,"12311","1230"
"123","MTUWTF","12661089","ANAHEIM CANYON METROLINK STATION",0,"12341","1230"
"123","MTUWTF","12661090","ANAHEIM CANYON METROLINK STATION",0,"05046","1230"
"123","MTUWTF","12661091","ANAHEIM CANYON METROLINK STATION",0,"12343","1230"
"123","MTUWTF","12661092","ANAHEIM CANYON METROLINK STATION",0,"12342","1230"
"123","MTUWTF","12661093","ANAHEIM CANYON METROLINK STATION",0,"12311","1230"
"123","MTUWTF","12661094","ANAHEIM CANYON METROLINK STATION",0,"12341","1230"
"123","MTUWTF","12661095","ANAHEIM CANYON METROLINK STATION",0,"05015","1230"
"123","MTUWTF","12661096","ANAHEIM CANYON METROLINK STATION",0,"12343","1230"
"123","MTUWTF","12661097","ANAHEIM CANYON METROLINK STATION",0,"06615","1230"
"123","MTUWTF","12661098","ANAHEIM CANYON METROLINK STATION",0,"06613","1230"
"123","MTUWTF","12661099","ANAHEIM CANYON METROLINK STATION",0,"06015","1230"
"123","MTUWTF","12661100","ANAHEIM CANYON METROLINK STATION",0,"12312","1230"
"123","MTUWTF","12661101","GOLDEN WEST TRANSP CENTER",1,"12342","1231"
"123","MTUWTF","12661102","GOLDEN WEST TRANSP CENTER",1,"12311","1231"
"123","MTUWTF","12661103","GOLDEN WEST TRANSP CENTER",1,"12341","1231"
